2026-07-05 22:28:01 | INFO | test | test_phase1:16 | --- Testing config.py ---
2026-07-05 22:28:02 | INFO | test | test_phase1:24 | ✓ config.py OK
2026-07-05 22:28:02 | INFO | test | test_phase1:28 | --- Testing db.py ---
2026-07-05 22:28:03 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:28:03 | INFO | test | test_phase1:36 |   Northwind tables: ['customers', 'dummy', 'employees', 'office', 'orderdetails', 'orders', 'payments', 'productlines', 'products']
2026-07-05 22:28:03 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:28:03 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:28:03 | INFO | db | db:40 | Audit database ready
2026-07-05 22:28:03 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:28:03 | INFO | test | test_phase1:47 | ✓ db.py OK
2026-07-05 22:28:03 | INFO | test | test_phase1:51 | --- Testing state.py ---
2026-07-05 22:28:03 | INFO | test | test_phase1:74 | ✓ state.py OK
2026-07-05 22:28:03 | INFO | test | test_phase1:78 | --- Testing nodes/validate.py ---
2026-07-05 22:28:03 | ERROR | test | test_phase1:171 | ✗ test_validate_node FAILED: No module named 'sqlparse'
2026-07-05 22:28:03 | INFO | test | test_phase1:102 | --- Testing nodes/risk.py ---
2026-07-05 22:28:03 | INFO | risk | risk:21 | Operation: SELECT | Risk: SAFE
2026-07-05 22:28:03 | INFO | risk | risk:21 | Operation: UPDATE | Risk: MEDIUM
2026-07-05 22:28:03 | INFO | risk | risk:21 | Operation: DELETE | Risk: HIGH
2026-07-05 22:28:03 | INFO | test | test_phase1:117 | ✓ nodes/risk.py OK
2026-07-05 22:28:03 | INFO | test | test_phase1:121 | --- Testing nodes/error_handler.py ---
2026-07-05 22:28:03 | ERROR | error_handler | error_handler:11 | Error in pipeline | Operation: SELECT | SQL: SELECT * FROM fake_table | Error: Table not found
2026-07-05 22:28:03 | INFO | test | test_phase1:130 | ✓ nodes/error_handler.py OK
2026-07-05 22:28:03 | INFO | test | test_phase1:134 | --- Testing nodes/execute.py (read query) ---
2026-07-05 22:28:03 | ERROR | test | test_phase1:171 | ✗ test_execute_node_read FAILED: No module named 'langgraph.types'
2026-07-05 22:29:29 | INFO | test | test_phase1:16 | --- Testing config.py ---
2026-07-05 22:29:29 | INFO | test | test_phase1:24 | ✓ config.py OK
